Date,Type,Confirmation Code,Start Date,Nights,Guest,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee
9/30/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,159.06,,
9/30/2020,Reservation,GS4G4SGDG4,9/29/2020,2,Guest_1,Logement_1,,,EUR,159.06,,5.94,35.00
9/27/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,1023.77,,
9/27/2020,Reservation,ZET55ZTEZ,9/26/2020,9,Guest_2,Logement_2,,,EUR,1023.77,,38.23,45.00
9/26/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,471.77,,
9/25/2020,Resolution Adjustment,,,,,,Resolution adjustment for resolution 8549546,,EUR,-28.97,,,
9/26/2020,Reservation,GZ8ZFZGZ9,9/25/2020,3,Guest_3,Logement_3,,,EUR,248.90,,9.30,35.00
9/26/2020,Reservation,FZGZ897GZ4G,9/25/2020,3,Guest_4,Logement_4,,,EUR,251.84,,9.41,40.00
9/24/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,559.60,,
9/24/2020,Reservation,GZGD45ZGG,9/23/2020,4,Guest_5,Logement_5,,,EUR,315.23,,11.77,29.00
9/24/2020,Reservation,GGSDFGTJ8TKL5,9/23/2020,3,Guest_6,Logement_1,,,EUR,244.37,,9.13,35.00
9/23/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,281.49,,
9/23/2020,Reservation,POIY5J45TGHGK,9/22/2020,4,Guest_7,Logement_6,,,EUR,281.49,,10.51,40.00
9/22/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,1154.27,,
9/19/2020,Resolution Adjustment,,,,,,Resolution adjustment for resolution 4343435,,EUR,-30.00,,,
9/22/2020,Reservation,JGHE87AHDFH,9/21/2020,11,Guest_8,Logement_7,,,EUR,914.35,,34.15,39.00
9/22/2020,Reservation,QGFQE4Q455QG,9/21/2020,4,Guest_9,Logement_8,,,EUR,269.92,,10.08,40.00
9/19/2020,Payout,,,,,,Transfer to •••••0801 (EUR),,EUR,,696.03,,
9/19/2020,Reservation,QSGFQ464QS,9/18/2020,3,Guest_10,Logement_3,,,EUR,302.70,,11.30,35.00
9/19/2020,Reservation,GF65QH4FQ65H4Q,9/18/2020,2,Guest_11,Logement_9,,,EUR,182.20,,6.80,29.00
